,Survived,Pclass,Sex,Age,SibSp,ParCh,Fare,Embarked,FamilySize,FamType,SurvTF
72,No,2,male,21.0,0,0,73.5,S,0,Single,False
73,No,3,male,26.0,1,0,14.4542,C,1,Medium,False
74,Yes,3,male,32.0,0,0,56.4958,S,0,Single,True
75,No,3,male,25.0,0,0,7.65,S,0,Single,False
76,No,3,male,23.0,0,0,7.8958,S,0,Single,False
77,No,3,male,28.0,0,0,8.05,S,0,Single,False
78,Yes,2,male,0.83,0,2,29.0,S,2,Medium,True
79,Yes,3,female,30.0,0,0,12.475,S,0,Single,True
80,No,3,male,22.0,0,0,9.0,S,0,Single,False
81,Yes,3,male,29.0,0,0,9.5,S,0,Single,True
82,Yes,3,female,31.0,0,0,7.7875,Q,0,Single,True
83,No,1,male,28.0,0,0,47.1,S,0,Single,False
84,Yes,2,female,17.0,0,0,10.5,S,0,Single,True
85,Yes,3,female,33.0,3,0,15.85,S,3,Medium,True
86,No,3,male,16.0,1,3,34.375,S,4,Medium,False
87,No,3,male,20.0,0,0,8.05,S,0,Single,False
88,Yes,1,female,23.0,3,2,263.0,S,5,Large,True
89,No,3,male,24.0,0,0,8.05,S,0,Single,False
90,No,3,male,29.0,0,0,8.05,S,0,Single,False
91,No,3,male,20.0,0,0,7.8542,S,0,Single,False
92,No,1,male,46.0,1,0,61.175,S,1,Medium,False
93,No,3,male,26.0,1,2,20.575,S,3,Medium,False
94,No,3,male,59.0,0,0,7.25,S,0,Single,False
95,No,3,male,22.0,0,0,8.05,S,0,Single,False
96,No,1,male,71.0,0,0,34.6542,C,0,Single,False
97,Yes,1,male,23.0,0,1,63.3583,C,1,Medium,True
98,Yes,2,female,34.0,0,1,23.0,S,1,Medium,True
99,No,2,male,34.0,1,0,26.0,S,1,Medium,False
100,No,3,female,28.0,0,0,7.8958,S,0,Single,False
101,No,3,male,29.0,0,0,7.8958,S,0,Single,False
102,No,1,male,21.0,0,1,77.2875,S,1,Medium,False
103,No,3,male,33.0,0,0,8.6542,S,0,Single,False
104,No,3,male,37.0,2,0,7.925,S,2,Medium,False
105,No,3,male,28.0,0,0,7.8958,S,0,Single,False
106,Yes,3,female,21.0,0,0,7.65,S,0,Single,True
107,Yes,3,male,29.0,0,0,7.775,S,0,Single,True
108,No,3,male,38.0,0,0,7.8958,S,0,Single,False
109,Yes,3,female,28.0,1,0,24.15,Q,1,Medium,True
110,No,1,male,47.0,0,0,52.0,S,0,Single,False
111,No,3,female,14.5,1,0,14.4542,C,1,Medium,False
112,No,3,male,22.0,0,0,8.05,S,0,Single,False
113,No,3,female,20.0,1,0,9.825,S,1,Medium,False
114,No,3,female,17.0,0,0,14.4583,C,0,Single,False
115,No,3,male,21.0,0,0,7.925,S,0,Single,False
116,No,3,male,70.5,0,0,7.75,Q,0,Single,False
117,No,2,male,29.0,1,0,21.0,S,1,Medium,False
118,No,1,male,24.0,0,1,247.5208,C,1,Medium,False
119,No,3,female,2.0,4,2,31.275,S,6,Large,False
120,No,2,male,21.0,2,0,73.5,S,2,Medium,False
121,No,3,male,19.0,0,0,8.05,S,0,Single,False
122,No,2,male,32.5,1,0,30.0708,C,1,Medium,False
123,Yes,2,female,32.5,0,0,13.0,S,0,Single,True
124,No,1,male,54.0,0,1,77.2875,S,1,Medium,False
125,Yes,3,male,12.0,1,0,11.2417,C,1,Medium,True
126,No,3,male,19.0,0,0,7.75,Q,0,Single,False
127,Yes,3,male,24.0,0,0,7.1417,S,0,Single,True
128,Yes,3,female,2.0,1,1,22.3583,C,2,Medium,True
129,No,3,male,45.0,0,0,6.975,S,0,Single,False
130,No,3,male,33.0,0,0,7.8958,C,0,Single,False
131,No,3,male,20.0,0,0,7.05,S,0,Single,False
132,No,3,female,47.0,1,0,14.5,S,1,Medium,False
133,Yes,2,female,29.0,1,0,26.0,S,1,Medium,True
134,No,2,male,25.0,0,0,13.0,S,0,Single,False
135,No,2,male,23.0,0,0,15.0458,C,0,Single,False
136,Yes,1,female,19.0,0,2,26.2833,S,2,Medium,True
137,No,1,male,37.0,1,0,53.1,S,1,Medium,False
138,No,3,male,16.0,0,0,9.2167,S,0,Single,False
139,No,1,male,24.0,0,0,79.2,C,0,Single,False
140,No,3,female,40.0,0,2,15.2458,C,2,Medium,False
141,Yes,3,female,22.0,0,0,7.75,S,0,Single,True
142,Yes,3,female,24.0,1,0,15.85,S,1,Medium,True
143,No,3,male,19.0,0,0,6.75,Q,0,Single,False
144,No,2,male,18.0,0,0,11.5,S,0,Single,False
145,No,2,male,19.0,1,1,36.75,S,2,Medium,False
146,Yes,3,male,27.0,0,0,7.7958,S,0,Single,True
147,No,3,female,9.0,2,2,34.375,S,4,Medium,False
148,No,2,male,36.5,0,2,26.0,S,2,Medium,False
149,No,2,male,42.0,0,0,13.0,S,0,Single,False
150,No,2,male,51.0,0,0,12.525,S,0,Single,False
151,Yes,1,female,22.0,1,0,66.6,S,1,Medium,True
152,No,3,male,55.5,0,0,8.05,S,0,Single,False
153,No,3,male,40.5,0,2,14.5,S,2,Medium,False
154,No,3,male,27.0,0,0,7.3125,S,0,Single,False
155,No,1,male,51.0,0,1,61.3792,C,1,Medium,False
156,Yes,3,female,16.0,0,0,7.7333,Q,0,Single,True
157,No,3,male,30.0,0,0,8.05,S,0,Single,False
158,No,3,male,37.0,0,0,8.6625,S,0,Single,False
159,No,3,male,5.0,8,2,69.55,S,10,Large,False
160,No,3,male,44.0,0,1,16.1,S,1,Medium,False
161,Yes,2,female,40.0,0,0,15.75,S,0,Single,True
162,No,3,male,26.0,0,0,7.775,S,0,Single,False
163,No,3,male,17.0,0,0,8.6625,S,0,Single,False
164,No,3,male,1.0,4,1,39.6875,S,5,Large,False
165,Yes,3,male,9.0,0,2,20.525,S,2,Medium,True
166,Yes,1,female,48.0,0,1,55.0,S,1,Medium,True
167,No,3,female,45.0,1,4,27.9,S,5,Large,False
168,No,1,male,60.0,0,0,25.925,S,0,Single,False
169,No,3,male,28.0,0,0,56.4958,S,0,Single,False
170,No,1,male,61.0,0,0,33.5,S,0,Single,False
171,No,3,male,4.0,4,1,29.125,Q,5,Large,False
172,Yes,3,female,1.0,1,1,11.1333,S,2,Medium,True
173,No,3,male,21.0,0,0,7.925,S,0,Single,False
174,No,1,male,56.0,0,0,30.6958,C,0,Single,False
175,No,3,male,18.0,1,1,7.8542,S,2,Medium,False
176,No,3,male,5.0,3,1,25.4667,S,4,Medium,False
177,No,1,female,50.0,0,0,28.7125,C,0,Single,False
178,No,2,male,30.0,0,0,13.0,S,0,Single,False
179,No,3,male,36.0,0,0,0.0,S,0,Single,False
180,No,3,female,8.0,8,2,69.55,S,10,Large,False
181,No,2,male,39.0,0,0,15.05,C,0,Single,False
182,No,3,male,9.0,4,2,31.3875,S,6,Large,False
183,Yes,2,male,1.0,2,1,39.0,S,3,Medium,True
184,Yes,3,female,4.0,0,2,22.025,S,2,Medium,True
185,No,1,male,39.0,0,0,50.0,S,0,Single,False
186,Yes,3,female,26.0,1,0,15.5,Q,1,Medium,True
187,Yes,1,male,45.0,0,0,26.55,S,0,Single,True
188,No,3,male,40.0,1,1,15.5,Q,2,Medium,False
189,No,3,male,36.0,0,0,7.8958,S,0,Single,False
190,Yes,2,female,32.0,0,0,13.0,S,0,Single,True
191,No,2,male,19.0,0,0,13.0,S,0,Single,False
192,Yes,3,female,19.0,1,0,7.8542,S,1,Medium,True
193,Yes,2,male,3.0,1,1,26.0,S,2,Medium,True
194,Yes,1,female,44.0,0,0,27.7208,C,0,Single,True
195,Yes,1,female,58.0,0,0,146.5208,C,0,Single,True
196,No,3,male,28.0,0,0,7.75,Q,0,Single,False
197,No,3,male,42.0,0,1,8.4042,S,1,Medium,False
198,Yes,3,female,21.0,0,0,7.75,Q,0,Single,True
199,No,2,female,24.0,0,0,13.0,S,0,Single,False
200,No,3,male,28.0,0,0,9.5,S,0,Single,False
201,No,3,male,17.0,8,2,69.55,S,10,Large,False
202,No,3,male,34.0,0,0,6.4958,S,0,Single,False
203,No,3,male,45.5,0,0,7.225,C,0,Single,False
204,Yes,3,male,18.0,0,0,8.05,S,0,Single,True
205,No,3,female,2.0,0,1,10.4625,S,1,Medium,False
206,No,3,male,32.0,1,0,15.85,S,1,Medium,False
207,Yes,3,male,26.0,0,0,18.7875,C,0,Single,True
208,Yes,3,female,16.0,0,0,7.75,Q,0,Single,True
209,Yes,1,male,40.0,0,0,31.0,C,0,Single,True
210,No,3,male,24.0,0,0,7.05,S,0,Single,False
211,Yes,2,female,35.0,0,0,21.0,S,0,Single,True
212,No,3,male,22.0,0,0,7.25,S,0,Single,False
213,No,2,male,30.0,0,0,13.0,S,0,Single,False
214,No,3,male,22.0,1,0,7.75,Q,1,Medium,False
215,Yes,1,female,31.0,1,0,113.275,C,1,Medium,True
216,Yes,3,female,27.0,0,0,7.925,S,0,Single,True
217,No,2,male,42.0,1,0,27.0,S,1,Medium,False
218,Yes,1,female,32.0,0,0,76.2917,C,0,Single,True
219,No,2,male,30.0,0,0,10.5,S,0,Single,False
220,Yes,3,male,16.0,0,0,8.05,S,0,Single,True
221,No,2,male,27.0,0,0,13.0,S,0,Single,False
222,No,3,male,51.0,0,0,8.05,S,0,Single,False
223,No,3,male,22.0,0,0,7.8958,S,0,Single,False
224,Yes,1,male,38.0,1,0,90.0,S,1,Medium,True
225,No,3,male,22.0,0,0,9.35,S,0,Single,False
226,Yes,2,male,19.0,0,0,10.5,S,0,Single,True
227,No,3,male,20.5,0,0,7.25,S,0,Single,False
228,No,2,male,18.0,0,0,13.0,S,0,Single,False
229,No,3,female,12.0,3,1,25.4667,S,4,Medium,False
230,Yes,1,female,35.0,1,0,83.475,S,1,Medium,True
231,No,3,male,29.0,0,0,7.775,S,0,Single,False
232,No,2,male,59.0,0,0,13.5,S,0,Single,False
233,Yes,3,female,5.0,4,2,31.3875,S,6,Large,True
234,No,2,male,24.0,0,0,10.5,S,0,Single,False
235,No,3,female,21.0,0,0,7.55,S,0,Single,False
236,No,2,male,44.0,1,0,26.0,S,1,Medium,False
237,Yes,2,female,8.0,0,2,26.25,S,2,Medium,True
238,No,2,male,19.0,0,0,10.5,S,0,Single,False
239,No,2,male,33.0,0,0,12.275,S,0,Single,False
240,No,3,female,19.0,1,0,14.4542,C,1,Medium,False
241,Yes,3,female,18.0,1,0,15.5,Q,1,Medium,True
242,No,2,male,29.0,0,0,10.5,S,0,Single,False
243,No,3,male,22.0,0,0,7.125,S,0,Single,False
244,No,3,male,30.0,0,0,7.225,C,0,Single,False
245,No,1,male,44.0,2,0,90.0,Q,2,Medium,False
246,No,3,female,25.0,0,0,7.775,S,0,Single,False
247,Yes,2,female,24.0,0,2,14.5,S,2,Medium,True
248,Yes,1,male,37.0,1,1,52.5542,S,2,Medium,True
249,No,2,male,54.0,1,0,26.0,S,1,Medium,False
250,No,3,male,18.0,0,0,7.25,S,0,Single,False
251,No,3,female,29.0,1,1,10.4625,S,2,Medium,False
252,No,1,male,62.0,0,0,26.55,S,0,Single,False
253,No,3,male,30.0,1,0,16.1,S,1,Medium,False
254,No,3,female,41.0,0,2,20.2125,S,2,Medium,False
255,Yes,3,female,29.0,0,2,15.2458,C,2,Medium,True
256,Yes,1,female,38.0,0,0,79.2,C,0,Single,True
257,Yes,1,female,30.0,0,0,86.5,S,0,Single,True
258,Yes,1,female,35.0,0,0,512.3292,C,0,Single,True
259,Yes,2,female,50.0,0,1,26.0,S,1,Medium,True
260,No,3,male,,0,0,7.75,Q,0,Single,False
261,Yes,3,male,3.0,4,2,31.3875,S,6,Large,True
262,No,1,male,52.0,1,1,79.65,S,2,Medium,False
263,No,1,male,40.0,0,0,0.0,S,0,Single,False
264,No,3,female,21.0,0,0,7.75,Q,0,Single,False
265,No,2,male,36.0,0,0,10.5,S,0,Single,False
266,No,3,male,16.0,4,1,39.6875,S,5,Large,False
267,Yes,3,male,25.0,1,0,7.775,S,1,Medium,True
268,Yes,1,female,58.0,0,1,153.4625,S,1,Medium,True
269,Yes,1,female,35.0,0,0,135.6333,S,0,Single,True
270,No,1,male,28.0,0,0,31.0,S,0,Single,False
271,Yes,3,male,25.0,0,0,0.0,S,0,Single,True
272,Yes,2,female,41.0,0,1,19.5,S,1,Medium,True
273,No,1,male,37.0,0,1,29.7,C,1,Medium,False
274,Yes,3,female,33.0,0,0,7.75,Q,0,Single,True
275,Yes,1,female,63.0,1,0,77.9583,S,1,Medium,True
276,No,3,female,45.0,0,0,7.75,S,0,Single,False
277,No,2,male,21.0,0,0,0.0,S,0,Single,False
278,No,3,male,7.0,4,1,29.125,Q,5,Large,False
279,Yes,3,female,35.0,1,1,20.25,S,2,Medium,True
280,No,3,male,65.0,0,0,7.75,Q,0,Single,False
281,No,3,male,28.0,0,0,7.8542,S,0,Single,False
282,No,3,male,16.0,0,0,9.5,S,0,Single,False
283,Yes,3,male,19.0,0,0,8.05,S,0,Single,True
284,No,1,male,57.0,0,0,26.0,S,0,Single,False
285,No,3,male,33.0,0,0,8.6625,C,0,Single,False
286,Yes,3,male,30.0,0,0,9.5,S,0,Single,True
287,No,3,male,22.0,0,0,7.8958,S,0,Single,False
288,Yes,2,male,42.0,0,0,13.0,S,0,Single,True
289,Yes,3,female,22.0,0,0,7.75,Q,0,Single,True
290,Yes,1,female,26.0,0,0,78.85,S,0,Single,True
291,Yes,1,female,19.0,1,0,91.0792,C,1,Medium,True
292,No,2,male,36.0,0,0,12.875,C,0,Single,False
293,No,3,female,24.0,0,0,8.85,S,0,Single,False
294,No,3,male,24.0,0,0,7.8958,S,0,Single,False
295,No,1,male,30.0,0,0,27.7208,C,0,Single,False
296,No,3,male,23.5,0,0,7.2292,C,0,Single,False
297,No,1,female,2.0,1,2,151.55,S,3,Medium,False
298,Yes,1,male,47.0,0,0,30.5,S,0,Single,True
299,Yes,1,female,50.0,0,1,247.5208,C,1,Medium,True
300,Yes,3,female,20.0,0,0,7.75,Q,0,Single,True
301,Yes,3,male,24.0,2,0,23.25,Q,2,Medium,True
302,No,3,male,19.0,0,0,0.0,S,0,Single,False
303,Yes,2,female,46.0,0,0,12.35,Q,0,Single,True
304,No,3,male,28.0,0,0,8.05,S,0,Single,False
305,Yes,1,male,0.92,1,2,151.55,S,3,Medium,True
306,Yes,1,female,42.0,0,0,110.8833,C,0,Single,True
307,Yes,1,female,17.0,1,0,108.9,C,1,Medium,True
308,No,2,male,30.0,1,0,24.0,C,1,Medium,False
309,Yes,1,female,30.0,0,0,56.9292,C,0,Single,True
310,Yes,1,female,24.0,0,0,83.1583,C,0,Single,True
311,Yes,1,female,18.0,2,2,262.375,C,4,Medium,True
312,No,2,female,26.0,1,1,26.0,S,2,Medium,False
313,No,3,male,28.0,0,0,7.8958,S,0,Single,False
314,No,2,male,43.0,1,1,26.25,S,2,Medium,False
315,Yes,3,female,26.0,0,0,7.8542,S,0,Single,True
316,Yes,2,female,24.0,1,0,26.0,S,1,Medium,True
317,No,2,male,54.0,0,0,14.0,S,0,Single,False
318,Yes,1,female,31.0,0,2,164.8667,S,2,Medium,True
319,Yes,1,female,40.0,1,1,134.5,C,2,Medium,True
320,No,3,male,22.0,0,0,7.25,S,0,Single,False
321,No,3,male,27.0,0,0,7.8958,S,0,Single,False
322,Yes,2,female,30.0,0,0,12.35,Q,0,Single,True
323,Yes,2,female,22.0,1,1,29.0,S,2,Medium,True
324,No,3,male,20.0,8,2,69.55,S,10,Large,False
325,Yes,1,female,36.0,0,0,135.6333,C,0,Single,True
326,No,3,male,61.0,0,0,6.2375,S,0,Single,False
327,Yes,2,female,36.0,0,0,13.0,S,0,Single,True
328,Yes,3,female,31.0,1,1,20.525,S,2,Medium,True
329,Yes,1,female,16.0,0,1,57.9792,C,1,Medium,True
330,Yes,3,female,28.0,2,0,23.25,Q,2,Medium,True
331,No,1,male,45.5,0,0,28.5,S,0,Single,False
332,No,1,male,38.0,0,1,153.4625,S,1,Medium,False
333,No,3,male,16.0,2,0,18.0,S,2,Medium,False
334,Yes,1,female,42.0,1,0,133.65,S,1,Medium,True
335,No,3,male,30.0,0,0,7.8958,S,0,Single,False
336,No,1,male,29.0,1,0,66.6,S,1,Medium,False
337,Yes,1,female,41.0,0,0,134.5,C,0,Single,True
338,Yes,3,male,45.0,0,0,8.05,S,0,Single,True
339,No,1,male,45.0,0,0,35.5,S,0,Single,False
340,Yes,2,male,2.0,1,1,26.0,S,2,Medium,True
341,Yes,1,female,24.0,3,2,263.0,S,5,Large,True
342,No,2,male,28.0,0,0,13.0,S,0,Single,False
343,No,2,male,25.0,0,0,13.0,S,0,Single,False
344,No,2,male,36.0,0,0,13.0,S,0,Single,False
345,Yes,2,female,24.0,0,0,13.0,S,0,Single,True
346,Yes,2,female,40.0,0,0,13.0,S,0,Single,True
347,Yes,3,female,34.0,1,0,16.1,S,1,Medium,True
348,Yes,3,male,3.0,1,1,15.9,S,2,Medium,True
349,No,3,male,42.0,0,0,8.6625,S,0,Single,False
350,No,3,male,23.0,0,0,9.225,S,0,Single,False
351,No,1,male,43.0,0,0,35.0,S,0,Single,False
352,No,3,male,15.0,1,1,7.2292,C,2,Medium,False
353,No,3,male,25.0,1,0,17.8,S,1,Medium,False
354,No,3,male,23.0,0,0,7.225,C,0,Single,False
355,No,3,male,28.0,0,0,9.5,S,0,Single,False
356,Yes,1,female,22.0,0,1,55.0,S,1,Medium,True
357,No,2,female,38.0,0,0,13.0,S,0,Single,False
358,Yes,3,female,22.0,0,0,7.8792,Q,0,Single,True
359,Yes,3,female,23.0,0,0,7.8792,Q,0,Single,True
360,No,3,male,40.0,1,4,27.9,S,5,Large,False
361,No,2,male,29.0,1,0,27.7208,C,1,Medium,False
362,No,3,female,45.0,0,1,14.4542,C,1,Medium,False
363,No,3,male,35.0,0,0,7.05,S,0,Single,False
364,No,3,male,27.0,1,0,15.5,Q,1,Medium,False
365,No,3,male,30.0,0,0,7.25,S,0,Single,False
366,Yes,1,female,60.0,1,0,75.25,C,1,Medium,True
367,Yes,3,female,35.0,0,0,7.2292,C,0,Single,True
368,Yes,3,female,22.0,0,0,7.75,Q,0,Single,True
369,Yes,1,female,24.0,0,0,69.3,C,0,Single,True
370,Yes,1,male,25.0,1,0,55.4417,C,1,Medium,True
371,No,3,male,18.0,1,0,6.4958,S,1,Medium,False
372,No,3,male,19.0,0,0,8.05,S,0,Single,False
373,No,1,male,22.0,0,0,135.6333,C,0,Single,False
374,No,3,female,3.0,3,1,21.075,S,4,Medium,False
375,Yes,1,female,25.0,1,0,82.1708,C,1,Medium,True
376,Yes,3,female,22.0,0,0,7.25,S,0,Single,True
377,No,1,male,27.0,0,2,211.5,C,2,Medium,False
378,No,3,male,20.0,0,0,4.0125,C,0,Single,False
379,No,3,male,19.0,0,0,7.775,S,0,Single,False
380,Yes,1,female,42.0,0,0,227.525,C,0,Single,True
381,Yes,3,female,1.0,0,2,15.7417,C,2,Medium,True
382,No,3,male,32.0,0,0,7.925,S,0,Single,False
383,Yes,1,female,35.0,1,0,52.0,S,1,Medium,True
384,No,3,male,27.0,0,0,7.8958,S,0,Single,False
385,No,2,male,18.0,0,0,73.5,S,0,Single,False
386,No,3,male,1.0,5,2,46.9,S,7,Large,False
387,Yes,2,female,36.0,0,0,13.0,S,0,Single,True
388,No,3,male,19.0,0,0,7.7292,Q,0,Single,False
389,Yes,2,female,17.0,0,0,12.0,C,0,Single,True
390,Yes,1,male,36.0,1,2,120.0,S,3,Medium,True
391,Yes,3,male,21.0,0,0,7.7958,S,0,Single,True
392,No,3,male,28.0,2,0,7.925,S,2,Medium,False
393,Yes,1,female,23.0,1,0,113.275,C,1,Medium,True
394,Yes,3,female,24.0,0,2,16.7,S,2,Medium,True
395,No,3,male,22.0,0,0,7.7958,S,0,Single,False
396,No,3,female,31.0,0,0,7.8542,S,0,Single,False
397,No,2,male,46.0,0,0,26.0,S,0,Single,False
398,No,2,male,23.0,0,0,10.5,S,0,Single,False
399,Yes,2,female,28.0,0,0,12.65,S,0,Single,True
400,Yes,3,male,39.0,0,0,7.925,S,0,Single,True
401,No,3,male,26.0,0,0,8.05,S,0,Single,False
402,No,3,female,21.0,1,0,9.825,S,1,Medium,False
403,No,3,male,28.0,1,0,15.85,S,1,Medium,False
404,No,3,female,20.0,0,0,8.6625,S,0,Single,False
405,No,2,male,34.0,1,0,21.0,S,1,Medium,False
406,No,3,male,51.0,0,0,7.75,S,0,Single,False
407,Yes,2,male,3.0,1,1,18.75,S,2,Medium,True
408,No,3,male,21.0,0,0,7.775,S,0,Single,False
409,No,3,female,3.0,3,1,25.4667,S,4,Medium,False
410,No,3,male,42.0,0,0,7.8958,S,0,Single,False
411,No,3,male,27.0,0,0,6.8583,Q,0,Single,False
412,Yes,1,female,33.0,1,0,90.0,Q,1,Medium,True
413,No,2,male,22.0,0,0,0.0,S,0,Single,False
414,Yes,3,male,44.0,0,0,7.925,S,0,Single,True
415,No,3,female,32.0,0,0,8.05,S,0,Single,False
416,Yes,2,female,34.0,1,1,32.5,S,2,Medium,True
417,Yes,2,female,18.0,0,2,13.0,S,2,Medium,True
418,No,2,male,30.0,0,0,13.0,S,0,Single,False
419,No,3,female,10.0,0,2,24.15,S,2,Medium,False
420,No,3,male,,0,0,7.8958,C,0,Single,False
421,No,3,male,21.0,0,0,7.7333,Q,0,Single,False
422,No,3,male,29.0,0,0,7.875,S,0,Single,False
423,No,3,female,28.0,1,1,14.4,S,2,Medium,False
424,No,3,male,18.0,1,1,20.2125,S,2,Medium,False
425,No,3,male,54.0,0,0,7.25,S,0,Single,False
426,Yes,2,female,28.0,1,0,26.0,S,1,Medium,True
427,Yes,2,female,19.0,0,0,26.0,S,0,Single,True
428,No,3,male,28.0,0,0,7.75,Q,0,Single,False
429,Yes,3,male,32.0,0,0,8.05,S,0,Single,True
430,Yes,1,male,28.0,0,0,26.55,S,0,Single,True
431,Yes,3,female,33.0,1,0,16.1,S,1,Medium,True
432,Yes,2,female,42.0,1,0,26.0,S,1,Medium,True
433,No,3,male,17.0,0,0,7.125,S,0,Single,False
434,No,1,male,50.0,1,0,55.9,S,1,Medium,False
435,Yes,1,female,14.0,1,2,120.0,S,3,Medium,True
436,No,3,female,21.0,2,2,34.375,S,4,Medium,False
437,Yes,2,female,24.0,2,3,18.75,S,5,Large,True
438,No,1,male,64.0,1,4,263.0,S,5,Large,False
439,No,2,male,31.0,0,0,10.5,S,0,Single,False
440,Yes,2,female,45.0,1,1,26.25,S,2,Medium,True
441,No,3,male,20.0,0,0,9.5,S,0,Single,False
442,No,3,male,25.0,1,0,7.775,S,1,Medium,False
443,Yes,2,female,28.0,0,0,13.0,S,0,Single,True
444,Yes,3,male,29.0,0,0,8.1125,S,0,Single,True
445,Yes,1,male,4.0,0,2,81.8583,S,2,Medium,True
446,Yes,2,female,13.0,0,1,19.5,S,1,Medium,True
447,Yes,1,male,34.0,0,0,26.55,S,0,Single,True
448,Yes,3,female,5.0,2,1,19.2583,C,3,Medium,True
449,Yes,1,male,52.0,0,0,30.5,S,0,Single,True
450,No,2,male,36.0,1,2,27.75,S,3,Medium,False
451,No,3,male,28.0,1,0,19.9667,S,1,Medium,False
452,No,1,male,30.0,0,0,27.75,C,0,Single,False
453,Yes,1,male,49.0,1,0,89.1042,C,1,Medium,True
